roadgroupid, year, kml, distance,  maxlat,  minlat,maxlong, minlong
_2021_new, 2021, BLY_E5_2021_new.kml, 0.0, -90.0, 90.0, -90.0, 90.0
_2021, 2021, STW_E3_2021.kml, 1.8922860094753793, -1.8054399490356445, -1.8140900135040283, 52.68783187866211, 52.68526077270508
_2021, 2021, CHD_C3_2021.kml, 1.6864194187695432, -1.8306299448013306, -1.8364100456237793, 52.69268035888672, 52.68851852416992
_2021, 2021, BLY_C1_2021.kml, 1.9892910841922657, -1.8061800003051758, -1.8110899925231934, 52.6823616027832, 52.68043899536133
STW_E1, 2021, STW_E1.kml, 0.41837022958592596, -1.8063100576400757, -1.8079440593719482, 52.686248779296875, 52.6850700378418
STW_N3, 2021, STW_N3.kml, 1.9689239363827473, -1.8140000104904175, -1.8188899755477905, 52.69702911376953, 52.69337844848633
CHD_C4, 2021, CHD_C4.kml, 0.7637733846617373, -1.83024001121521, -1.8327300548553467, 52.69232177734375, 52.68962097167969
_2020, 2021, STW_S4_2020.kml, 1.1818552861539695, -1.8167860507965088, -1.8211499452590942, 52.683998107910156, 52.68178176879883
CUR_C1, 2021, CUR_C1.kml, 1.7014500446588416, -1.823140025138855, -1.8293299674987793, 52.69921112060547, 52.689369201660156
CUR_E3, 2021, CUR_E3.kml, 1.225953387463604, -1.830399990081787, -1.8330899477005005, 52.69596862792969, 52.69395065307617
CHD_N3, 2021, CHD_N3.kml, 2.490585131703239, -1.8330299854278564, -1.8395899534225464, 52.697479248046875, 52.69466018676758
STJ_C5, 2021, STJ_C5.kml, 2.322481180048538, -1.822759985923767, -1.8321199417114258, 52.673980712890625, 52.6710319519043
STW_S3, 2021, STW_S3.kml, 2.874837711549851, -1.808150053024292, -1.8172099590301514, 52.686038970947266, 52.683528900146484
_2021, 2021, STW_S3_2021.kml, 3.1760959064583725, -1.806799054145813, -1.8164700269699097, 52.686729431152344, 52.68354034423828
STJ_E6, 2021, STJ_E6.kml, 2.3647477303460303, -1.8085500001907349, -1.8137099742889404, 52.67728042602539, 52.67353820800781
RG_STJ, 2021, RG_STJ.kml, 8.565748321441124, -1.8044084310531616, -1.8537237644195557, 52.6822395324707, 52.65790557861328
LEO_C6, 2021, LEO_C6.kml, 1.107159130664133, -1.8316999673843384, -1.8366459608078003, 52.6756706237793, 52.67388153076172
_2021, 2021, CUR_S2_2021.kml, 1.8804485288540258, -1.821131944656372, -1.8290400505065918, 52.698978424072266, 52.69232177734375
_2021, 2021, STJ_E2_2021.kml, 2.1057710865703956, -1.81781005859375, -1.8253300189971924, 52.681888580322266, 52.67810821533203
_2021, 2021, STW_W4_2021.kml, 1.0555557831562934, -1.8196699619293213, -1.8249579668045044, 52.68349838256836, 52.681270599365234
_2021, 2021, LEO_C7_2021.kml, 1.395304306990869, -1.8338899612426758, -1.8394800424575806, 52.67613983154297, 52.67417907714844
CUR_E1_2, 2021, CUR_E1_2.kml, 1.0605543046512331, -1.830739974975586, -1.8340799808502197, 52.69816970825195, 52.696189880371094
CUR_C2, 2021, CUR_C2.kml, 1.8686365342428384, -1.822029948234558, -1.8281400203704834, 52.69829177856445, 52.69565963745117
CUR_S2, 2021, CUR_S2.kml, 1.602299020923998, -1.8209060430526733, -1.8270219564437866, 52.69572830200195, 52.69234848022461
_2021, 2021, CHD_N4_2021.kml, 1.7120459009370264, -1.8314000368118286, -1.839419960975647, 52.69403839111328, 52.691219329833984
STW_C1, 2021, STW_C1.kml, 1.1136732325187322, -1.8212529420852661, -1.8243000507354736, 52.687076568603516, 52.68547821044922
STW_E2, 2021, STW_E2.kml, 1.3936451920561688, -1.8111000061035156, -1.8160400390625, 52.68938064575195, 52.68642044067383
CHD_S3, 2021, CHD_S3.kml, 1.458831832437154, -1.8307700157165527, -1.8353899717330933, 52.68960189819336, 52.687068939208984
STW_S2, 2021, STW_S2.kml, 1.939501538116138, -1.8102999925613403, -1.815690040588379, 52.68373107910156, 52.68067932128906
_2021, 2021, BLY_W1_2021.kml, 3.078254516338758, -1.8120900392532349, -1.8180099725723267, 52.68070983886719, 52.67660903930664
CHD_C2, 2021, CHD_C2.kml, 1.6774221729456082, -1.8347699642181396, -1.8401600122451782, 52.6917610168457, 52.68880844116211
CUR_E4, 2021, CUR_E4.kml, 1.3424269033726768, -1.827299952507019, -1.8317699432373047, 52.695621490478516, 52.69198989868164
_2021, 2021, CUR_S1_2021.kml, 1.0760665367548834, -1.826200008392334, -1.8298799991607666, 52.69308090209961, 52.690940856933594
_2021, 2021, BLY_E5_2021.kml, 1.166571897554317, -1.804610013961792, -1.8084800243377686, 52.67726135253906, 52.67424011230469
_2021, 2021, LEO_W1_2021.kml, 1.2324273398212342, -1.8272000551223755, -1.8333920240402222, 52.68013000488281, 52.67607116699219
STW_S1, 2021, STW_S1.kml, 1.6814021960778758, -1.8167699575424194, -1.82383394241333, 52.68360137939453, 52.68172073364258
_2021, 2021, STJ_E3_2021.kml, 2.1744868357476745, -1.8158400058746338, -1.8236600160598755, 52.68212127685547, 52.67707061767578
CHD_S4, 2021, CHD_S4.kml, 1.543112918922316, -1.834149956703186, -1.839050054550171, 52.68975067138672, 52.687679290771484
STW_C3, 2021, STW_C3.kml, 1.192562406928515, -1.8138200044631958, -1.8206499814987183, 52.688331604003906, 52.68532180786133
_2021, 2021, LEO_C1_2021.kml, 2.7632021577655435, -1.8364850282669067, -1.8503400087356567, 52.680789947509766, 52.6768798828125
STW_E5, 2021, STW_E5.kml, 1.338998389110168, -1.8094600439071655, -1.8158899545669556, 52.6904296875, 52.68724060058594
CHD_S1, 2021, CHD_S1.kml, 1.8615366992402782, -1.8266899585723877, -1.831470012664795, 52.69142150878906, 52.688568115234375
CHD_N2, 2021, CHD_N2.kml, 1.6280757310622804, -1.839400053024292, -1.842229962348938, 52.69525909423828, 52.691471099853516
_2021, 2021, CHD_C4_2021.kml, 1.6189187157563905, -1.8262100219726562, -1.8327300548553467, 52.69403076171875, 52.68960189819336
BLY_C3, 2021, BLY_C3.kml, 2.463750496805034, -1.8062800168991089, -1.8124099969863892, 52.6797981262207, 52.67688751220703
LEO_N2, 2021, LEO_N2.kml, 2.1575284062850906, -1.8418099880218506, -1.8467400074005127, 52.690391540527344, 52.68756866455078
