roadgroupid,year,kml,distance,maxlat,minlat,maxlong,minlong
LEO_C7,2021,LEO_C7_2021.kml,1.1212431826518034,52.67613983154297,52.67417907714844,-1.8338899612426758,-1.8394800424575806
CUR_E1_2,2021,CUR_E1_2.kml,0.8822354553950287,52.69816970825195,52.696189880371094,-1.830739974975586,-1.8340799808502197
CUR_C2,2021,CUR_C2.kml,1.4023548665619054,52.69829177856445,52.69565963745117,-1.822029948234558,-1.8281400203704834
CUR_S2,2021,CUR_S2.kml,1.284618012080956,52.69572830200195,52.69234848022461,-1.8209060430526733,-1.8270219564437866
CHD_N4,2021,CHD_N4_2021.kml,1.33156174119308,52.69403839111328,52.691219329833984,-1.8314000368118286,-1.839419960975647
STW_C1,2021,STW_C1.kml,0.8744431906359654,52.687076568603516,52.68547821044922,-1.8212529420852661,-1.8243000507354736
STW_E2,2021,STW_E2.kml,1.21956307723329,52.68938064575195,52.68642044067383,-1.8111000061035156,-1.8160400390625
CHD_S3,2021,CHD_S3.kml,1.1908261281834625,52.68960189819336,52.687068939208984,-1.8307700157165527,-1.8353899717330933
STW_S2,2021,STW_S2.kml,1.5768406943876518,52.68373107910156,52.68067932128906,-1.8102999925613403,-1.815690040588379
BLY_W1,2021,BLY_W1_2021.kml,2.648482801692827,52.68070983886719,52.67660903930664,-1.8120900392532349,-1.8180099725723267
CHD_C2,2021,CHD_C2.kml,1.313305070124763,52.6917610168457,52.68880844116211,-1.8347699642181396,-1.8401600122451782
CUR_E4,2021,CUR_E4.kml,1.1704165049526316,52.695621490478516,52.69198989868164,-1.827299952507019,-1.8317699432373047
CUR_S1,2021,CUR_S1_2021.kml,0.8170512115214658,52.69308090209961,52.690940856933594,-1.826200008392334,-1.8298799991607666
BLY_E5,2021,BLY_E5_2021.kml,0.9431186398548284,52.67726135253906,52.67424011230469,-1.804610013961792,-1.8084800243377686
